Red,Green,Blue
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.460,0.287,0.253
0.464,0.286,0.250
0.470,0.289,0.241
0.469,0.284,0.247
0.475,0.287,0.237
0.475,0.287,0.237
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.469,0.284,0.247
0.463,0.293,0.244
0.463,0.293,0.244
0.470,0.289,0.241
0.464,0.286,0.250
0.464,0.286,0.250
0.464,0.286,0.250
0.465,0.291,0.244
0.465,0.291,0.244
0.465,0.291,0.244
0.466,0.284,0.250
0.456,0.289,0.256
0.462,0.286,0.253
0.457,0.283,0.261
0.452,0.290,0.258
0.457,0.287,0.255
0.457,0.287,0.255
0.457,0.287,0.255
0.453,0.284,0.263
0.457,0.287,0.255
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.453,0.284,0.263
0.447,0.287,0.266
0.452,0.290,0.258
0.452,0.290,0.258
0.452,0.290,0.258
0.452,0.290,0.258
0.446,0.293,0.261
0.446,0.293,0.261
0.446,0.293,0.261
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.451,0.286,0.264
0.449,0.292,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.461,0.281,0.258
0.461,0.281,0.258
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.455,0.284,0.261
0.460,0.276,0.264
0.455,0.284,0.261
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.276,0.264
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.287,0.253
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.465,0.279,0.256
0.460,0.287,0.253
0.460,0.287,0.253
